rfc,rfc_published,observable,project,role,capability,capability_meaning,version,release_date,commit_date,shipped_before_rfc,standard_codepoint,attribution,attribution_basis,evidence_kind,evidence_text,evidence_commit,evidence_url,note
RFC 5011,2007-09,trust-anchor rollover,Unbound,resolver,validate,can verify this algorithm,1.4.0,2009-11-23,2009-09-22,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,rfc5011 and algorithm rollover,9dc9f0a8e8e6948f52664d840b92284404ddbb2c,https://github.com/NLnetLabs/unbound/commit/9dc9f0a8e8e6948f52664d840b92284404ddbb2c,
RFC 5011,2007-09,revoked-KSK state,Knot DNS,authoritative,sign,can produce RRSIGs with this algorithm,3.0.0,2020-09-09,2020-07-16,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,dnssec: implemented RFC 5011 KSK revoked state,1ad6ddf0d0387988c6ec28f8ff6f8fe04844c683,https://github.com/CZ-NIC/knot/commit/1ad6ddf0d0387988c6ec28f8ff6f8fe04844c683,
RFC 5155,2008-03,nsec3,Unbound,resolver,validate,can verify this algorithm,0.7.1,2007-11-19,2007-09-12,True,True,approximate,"Cited commit is one of ~12 NSEC3 commits in Sept 2007; 0.7.1 is the first release containing any of them, so NSEC3 may have been only partly working before it.",commit,nsec3 work.,d85debfae4c3d216c00960c1f8ecb88556399f61,https://github.com/NLnetLabs/unbound/commit/d85debfae4c3d216c00960c1f8ecb88556399f61,Shipped from draft-ietf-dnsext-nsec3; the RFC is 2008-03.
RFC 5155,2008-03,nsec3,BIND 9,both,sign,can produce RRSIGs with this algorithm,9.6.0,2008-12-21,2008-09-24,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,2448. [func] Add NSEC3 support. [RT #15452],6098d364b690cb9dabf96e9664c4689c8559bd2e,https://gitlab.isc.org/isc-projects/bind9/-/commit/6098d364b690cb9dabf96e9664c4689c8559bd2e,
RFC 5702,2009-10,alg 8/10,Unbound,resolver,validate,can verify this algorithm,1.1.0,2008-11-14,2008-11-03,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,RSASHA256_NSEC3 and RSASHA512_NSEC3 algos are supported.,8a32f9003b7c2eafea658516d0d62efdf36fb49b,https://github.com/NLnetLabs/unbound/commit/8a32f9003b7c2eafea658516d0d62efdf36fb49b,"11 months before the RFC, on draft codepoints."
RFC 5702,2009-10,alg 8/10,BIND 9,both,sign,can produce RRSIGs with this algorithm,9.7.0,2010-02-16,2009-10-22,False,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,"2726. [func] Added support for SHA-2 DNSSEC algorithms, RSASHA256 and RSASHA512.",cc6cddfd94e8f0c58c290317b0853dac30b1b895,https://gitlab.isc.org/isc-projects/bind9/-/commit/cc6cddfd94e8f0c58c290317b0853dac30b1b895,
RFC 5933,2010-07,alg 12,Unbound,resolver,validate,can verify this algorithm,1.4.0,2009-11-23,2009-08-06,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,changelog entry,"configure --enable-gost for GOST support, experimental implementation of draft-dolmatov-dnsext-dnssec-gost-01.",,https://github.com/NLnetLabs/unbound/blob/master/doc/Changelog,
RFC 5933,2010-07,alg 12,BIND 9,both,sign,can produce RRSIGs with this algorithm,9.6.2,2010-02-18,2009-11-19,True,True,approximate,"Evidence is the GOST draft filename added to the tree, not a feature entry. BIND could parse the draft's codepoints from this release; full support may be later.",commit,draft-ietf-dnsext-dnssec-gost-03.txt,d9fdcc51316d53d175d37c28f4b22292ed1c0c97,https://gitlab.isc.org/isc-projects/bind9/-/commit/d9fdcc51316d53d175d37c28f4b22292ed1c0c97,
RFC 6605,2012-04,alg 13/14,PowerDNS Authoritative,authoritative,sign,can produce RRSIGs with this algorithm,3.0.1,2012-01-10,2011-01-25,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,this huge commit adds support for RSASHA512 & draft-ietf-dnsext-ecdsa using the provisional codepoints,022e5e0b24c5f1741d0a38bf67bd3b5d60318f47,https://github.com/PowerDNS/pdns/commit/022e5e0b24c5f1741d0a38bf67bd3b5d60318f47,"Implemented 15 months before the RFC, on provisional codepoints."
RFC 6605,2012-04,digest 4,PowerDNS Authoritative,authoritative,sign,can produce RRSIGs with this algorithm,3.0.1,2012-01-10,2011-01-27,True,True,exact,The cited commit introduces the feature and this is the single earliest stable release containing it.,commit,"add support for digest provisional codepoint 4, SHA384",39315b97fad8deefca673041b85222e4ae00e7ab,https://github.com/PowerDNS/pdns/commit/39315b97fad8deefca673041b85222e4ae00e7ab,
