rfc_id,rfc_title,rfc_publication_date,indicator_id,indicator_description,required,weight,queryability,condition_count,fields_used,present_fields,missing_fields,available_from,reasoning,warnings
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_base_dnssec_record_present,A core DNSSEC resource record type defined by RFC 4034 is present in the response.,true,4.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc4033_base_dnssec_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,"Field `rr_type` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_dnssec_algorithm_present,"The record carries a DNSSEC algorithm number, confirming a signed delegation or key.",false,2.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc4033_dnssec_algorithm_present is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,"Field `algorithm` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_dnssec_ok_negotiated,The resolver negotiated DNSSEC by setting the DO bit in the query (RFC 4035 section 3.2.1).,false,3.0,partially_queryable,2,rr_type; dnssec_ok_flag,rr_type,dnssec_ok_flag,rr_type=2010-01-01T00:00:00,"Indicator rfc4033_dnssec_ok_negotiated is partially queryable: rr_type (string) exists in the OpenINTEL dictionary but dnssec_ok_flag does not, so every condition on dnssec_ok_flag fails with field_present=False. The surviving field rr_type is also relied on by other RFC 4033 indicators, so the part that can be evaluated still carries evidence for RFC 4033.","Field `rr_type` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,2006-05-01T00:00:00,rfc4509_ds_sha256_digest,DS or CDS record using digest type 2 (SHA-256).,true,9.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc4509_ds_sha256_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 4509's publication date 2006-05-01; adoption before 2010-01-01 cannot be observed through this field.; Field `digest_type` is only available from 2010-01-01, which is after RFC 4509's publication date 2006-05-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,rfc5155_nsec3_hash_algorithm,"NSEC3 hash algorithm field present (algorithm 1 = SHA-1, the only value defined by RFC 5155).",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc5155_nsec3_hash_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field.; Field `algorithm` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,rfc5155_nsec3_record_present,NSEC3 or NSEC3PARAM resource record observed.,true,10.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc5155_nsec3_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,"Field `rr_type` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,rfc6605_ecdsa_algorithm,Record uses DNSSEC algorithm 13 or 14 (ECDSA P-256 / P-384).,true,9.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc6605_ecdsa_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,rfc6605_ecdsa_on_key_or_signature,"The ECDSA algorithm appears on a key, delegation or signature record rather than an unrelated record type.",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc6605_ecdsa_on_key_or_signature is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,rfc7344_cds_cdnskey_present,CDS or CDNSKEY resource record observed.,true,9.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc7344_cds_cdnskey_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,rfc7344_cds_publishes_digest,"CDS record publishes a concrete digest type, i.e. the child is advertising a DS to publish rather than requesting deletion.",false,3.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc7344_cds_publishes_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
